SupportItemCategory,SupportItem,SupportItemNumber,Description,P25,P75
Bathroom and toilet equipment,Shower Commode - Wheeled - Low Transporter,05_091203053_0103_1_2,A chair for use over the toilet or in the shower that may include a pan holder beneath. Often low cost AT.,75,125
Bathroom and toilet equipment,Toilet Attachments and Accessories,05_091200111_0103_1_2,"Raised or special seats, bidet and other toilet attachments used to address functional limitations in toileting",75,125
Personal Alarms,Safety Devices - Adapted Smoke Detector / Doorbells,05_222909111_0123_1_2,Amplified visual alert and/or vibratory alarms,15,300
Personal Alarms,Adapted Devices for Phone Access / Alarms / Clocks / Programmable Memory Devices,05_222903111_0123_1_2,Adaption to reliably operate / use a mainstream product where possible. Device adaption required because of the person's disability need.,15,300
Personal Alarms,Safety Device - Flashing or Vibrating Doorbell / Smoke Alert / Personal Alarms,05_222909111_0103_1_2,Visual alert or vibrating smoke alarm packages for participants with hearing disability,15,300
Personal Alarms,Seizure Mat / Location Alert Type Alarm Systems,05_222906111_0103_1_2,"Alert system for detecting a seizure (e.g., epileptic) or identifying when a person with cognitive impairment goes beyond a safe zone.",15,300
Respiration & Circulation Equipment,Cough Assist Machine,05_040322811_0103_1_1,Non-invasive device to assist a person with weakened breathing or cough ability to clear secretions.,3000,5000
Respiration & Circulation Equipment,Ventilator Accessory - Filters and/or Humidifiers,05_040313111_0103_1_1,Accessory that filters and treats (humidifies/heats) air particularly when ventilation is through a hole in the air pipe (tracheostomy).,3000,5000
Respiration & Circulation Equipment,Repairs and Maintenance - Disability-related Health Machines,05_040303159_0103_1_1,Repairs And Maintenance - Health-Related Technology (Only For NDIS-Funded Items),3000,5000
Respiration & Circulation Equipment,Cyclic Pressure Unit - Replacement Garments and Compression Sleeves ,05_040609171_0103_1_1,"Replacement garment or sleeve for surrounding an affected part of the body, for use with a compression pump to aid the circulation and prevent swelling.",3000,5000
Respiration & Circulation Equipment,Ventilator - Invasive Ventilation for Continuous Use,05_040312811_0103_1_1,Device for artificial ventilation through an artificial hole in the air pipe (tracheostomy) for a person who is unable to breathe independently. Includes ventilators that filter or purify the surrounding air.,3000,5000
Respiration & Circulation Equipment,Ventilator - Supplemental Ventilation Support (including CPAP and BPAP),05_040312801_0103_1_1,"Devices for providing artificial ventilation through the nose, the mouth or an artificial hole in the air pipe (tracheostomy) for a person who has difficulties with breathing. Included are, e.g., Continuous Positive Airway Pressure (CPAP), Bilevel Positive Airway Pressure (BPAP).",3000,5000
Communication and information equipment,Communication - Amplifiers,05_222106253_0124_1_2,Devices to amplify one or more person's voice (primarily for group / meeting settings where individuals have hearing / voice impairment).,200,670
Communication and information equipment,Communication and Information AT - Computer / Device interfaces ,05_221300111_0103_1_2,"Includes keyboards, trackballs, text to speech and other peripherals and tools (Reading / Writing / Input / Output Items)",200,670
Communication and information equipment,Communication AT - Face to Face Electronic Devices,05_221315811_0124_1_2,"Electronic communication devices with customisable and changing screens, to allow highly customised voice output generation and may include multiple input methods (Speech Generating Devices / Visual Technology / Communication Devices).",200,670
Communication and information equipment,Communication AT - Non-Electronic Devices / Books / Tools for Face to Face,05_222100111_0124_1_2,"Communication boards accessed by pointing, eye gaze or other selection methods - usually non-electronic (Communication Devices, Books and tools)",200,670
Communication and information equipment,Personal Reader - Speech and Visual Output,05_221315880_0124_1_2,"Electronic device, primarily for people with visual or reading disability. ",200,670
Communication and information equipment,Personal Reader - Speech Output only,05_221321879_0124_1_2,Electronic device which converts text to speech.,200,670
Communication and information equipment,Vision - Portable Audible Player for Read Content,05_223907278_0124_1_2,Portable audible player for connection to computers,200,670
Communication and information equipment,Programming / Customisation - Electronic Equipment,05_702288440_0124_1_2,Programming and/or customising electronic equipment (e.g. communication devices) to meet the individual's disability-specific needs.,200,670
Communication and information equipment,Communication AT - Software related items for Computer / Tablet / Phone - Advanced,05_222102111_0124_1_2,Software to convert a tablet or computer device to a communication device.,200,670
Communication and information equipment,Communication / ICT AT - Complex need interface - Eye or EMG / Neural Control,05_241327891_0124_1_2,Hardware and software that directs or selects inputs by visual gaze or neural/neuromuscular action to activate a computer or face to face communication device.,200,670
Communication and information equipment,Communication AT - Simple Button or Keys with Voice Output,05_221315254_0124_1_2,A device which provides an audible message when triggered.,200,670
Communication and information equipment,Voice Amplifiers for Personal Use,05_220906234_0124_1_2,Portable personal device to amplify voice where there is a vocal impairment.,200,670
Communication and information equipment,Computer Tablet or Smartphone with critical Sensory or Cognitive Apps,05_222102811_0124_1_2,"Required for participation in home and community, not solely for education or work. e.g. visual navigation. See ÒWould We Fund ItÓ guide on NDIS website.",200,670
Assistive products for hearing,Hearing device - Standard level,05_220615111_0122_1_2,"An electronic instrument that provides amplification to individuals with a hearing loss (OSPL90 >= 128 dBSPL) IEC RTF 1600 Hz. Includes 10+ channels, feedback management, adaptive noise control, option to add telecoil, directional microphone, and minimum bandwidth of 8kHz.",86,124
Assistive products for hearing,,,This support requires written assessment from a suitably qualified practitioner prior to supply.,92,140
Assistive products for hearing,Hearing device - Intermediate level,05_220615211_0122_1_2,"An electronic instrument that provides amplification to individuals with a hearing loss and provides increased functions over and above what can be met with standard level devices. May include speech enhancement, sound management, ear to ear technology, and volume controls.",118,161
Assistive products for hearing,,,This support requires written assessment from a suitably qualified practitioner prior to supply.,93,123
Assistive products for hearing,Hearing device - Advanced level,05_220615811_0122_1_2,"An electronic instrument that provides amplification to individuals with a hearing loss and provides increased functions over and above what can be met with intermediate level devices. May include one or more of the following features; 24+ channels, tinnitus reduction, smartphone connectivity, automatic programming, wireless, compatibility with accessories, remote programming.",90,134
Assistive products for hearing,,,This support requires written assessment from a suitably qualified audiologist prior to supply.,105,161
Assistive products for hearing,Hearing device - Non-Standard,05_220618811_0122_1_2,"A device that offers specific technology to meet a particular functional requirement, which cannot be met by a Standard, Intermediate or Advanced hearing device. Audiologist assessment required.",99,141
Assistive products for hearing,Hearing device - External Speech Processor and Accessories,05_220621811_0122_1_2,"Replacement external speech processor and accessories, including programming, for implanted hearing devices - both bone anchored and within the inner ear",100,148
Assistive products for hearing,Hearing device - Specialised Landline Telephone,05_222404225_0122_1_2,"Adapted Landline Telephones with features including amplified sound, different ring pitch and visual alerts using wireless Bluetooth with a landline.",114,157
Assistive products for hearing,Hearing device - Baby Alert Systems,05_222903266_0122_1_2,Visual or vibrating alert for those hard of hearing,100,148
Assistive products for hearing,Hearing accessory - Induction Loop,05_220625247_0122_1_2,"Designed for individual use in private and public situations including reception counters, meetings and other appointments.",90,162
Assistive products for hearing,Hearing accessory - Music Device,05_220627271_0122_1_2,Portable couplers that allow individuals with hearing aids to access music via audio devices.,101,154
Assistive products for hearing,Hearing device - Personal Amplifiers / Binaural Listener,05_220627811_0122_1_2,"Personal sound amplifiers can be worn, systems usually consist of a small box with a microphone to pick up sound which is then amplified and sent to the ears via headphones or earbuds.",101,134
Assistive products for hearing,Hearing accessory - Remote Control,05_220627171_0122_1_2,A remote control that enables changes to be made to hearing aids without touching the hearing devices. It allows access to volume and program changes for people with poor or nil manual dexterity and for use by carers.,108,150
Assistive products for hearing,Hearing accessory - Remote Microphone System,05_222106843_0122_1_2,"Separate microphone (and, where needed, interface) to capture speech from a person at a distance from the hearer (e.g. a teacher in a classroom or lecture hall)",106,173
Assistive products for hearing,Hearing accessory - TV Function,05_220627232_0122_1_2,Systems for delivering sound directly from the TV to the ear,110,160
Assistive products for vision,Vision - Alternate Format Printer,05_223906811_0113_1_2,Printer that provides hardcopy readable information from a computer (usually braille). May also translate the braille to speech.,115,158
Assistive products for vision,Vision - Braille Device,05_221336811_0113_1_2,Small and portable device that can be used to take notes in braille for later use.,94,152
Assistive products for vision,Vision - Electronic Video Magnifier,05_220318811_0113_1_2,A desktop device for enlarging an image of the subject that has been captured by a video camera (using Video/CCTV).,110,159
Assistive products for vision,Vision - Image Enlargement Software,05_220321811_0113_1_2,Video system which magnifies text or pictures,82,126
Assistive products for vision,Vision - Mobile Phone with Special Functionality,05_222404258_0113_1_2,A mobile phone with voice output and enlarged visual display for significant vision loss,88,161
Assistive products for vision,Vision - Print Disability Software,05_223912811_0113_1_2,"Software on a computer or tablet that provides verbal output, magnification of screen content beyond that available in OEM Operating System (LP Keyboard)",105,138
Assistive products for vision,Repairs and Maintenance - Vision AT,05_502218315_0113_1_2,Repair costs for vision equipment.,104,157
Assistive products for vision,Vision - Visual Navigation AT,05_224506811_0113_1_2,Portable device and/or software or app that provides detailed navigation guidance for a person with vision impairment,93,150
Assistance Animals,Assistance dog (including Dog Guide),05_900101111_0130_1_2,Specially trained dog deemed reasonable and necessary in line with NDIA policy,110,152
Assistance Animals,Assistance dog (including Dog Guide) ongoing costs,03_900100155_0130_1_1,"Extra ongoing costs (above those of a companion animal) for medication, annual vet checks, food, etc. for a dog that meets the NDIA policy",113,155
Transfer equipment,Transfer AT - Ceiling Hoist,05_123612891_0105_1_2,Mechanical equipment fixed to a wall or ceiling to lift an individual for transfer or moving position (use code in Home Modifications section if home modifications are required to install).,115,159
Transfer equipment,Transfer AT - Sling Standard,05_123621111_0105_1_2,A standard supportive device made from different materials that supports the body of an individual and attaches to a hoist; to be used with a hoist to move an individual,109,157
Transfer equipment,Transfer AT - Sling Non-Standard,05_123621121_0105_1_2,A device that supports the body of an individual with complex needs or for specialised purposes and attaches to a hoist to move an individual; Custom Made or Bariatric.,90,145
Transfer equipment,Transfer AT - Pool Environment Hoist,05_123612811_0105_1_2,"Typically, fixed hoists for transfer into/out of pools or locations subject to weather or chlorine/salt exposure",87,147
Transfer equipment,Transfer AT - Mobile Hoist Seat or Table,05_123606868_0105_1_2,A portable mechanical device used to transfer an individual from a sitting position with solid seat.,88,135
Transfer equipment,Transfer AT - Mobile Hoist including Slings x2, 05_123603811_0105_1_2,"A portable mechanical device used for lifting an individual for transfer or moving position, including two slings",111,158
Transfer equipment,Repairs and Maintenance - Transfer AT,05_501236025_0105_1_2,"Repairs to transfer equipment, such as hoists and slings",104,152
Equipment related to walking,Wheeled Walker - Standard,05_120606096_0105_1_2,A wheeled walker with brakes and a seat for the individual.,99,136
Equipment related to walking,Rollator - Standard - Child,05_120606831_0105_1_2,Walking devices to enable a child to maintain and develop stability and balance while walking - with specific functional features,96,130
Equipment related to walking,Rollator - Standard,05_120606097_0105_1_2,A basic wheeled walker with frame,103,161
Equipment related to walking,Walking Frame or Walker ,05_120606811_0105_1_2,Walking devices that enable a person to maintain stability and balance while walking. Includes four wheeled walkers etc.,93,141
Equipment related to walking,Walking Supports - Sticks Canes And Crutches,05_120303111_0105_1_2,"Sticks, canes, or crutches to provide stability or partial weight bearing for people who walk.",118,176
Equipment related to walking,Walking Tables,05_120612100_0105_1_2,Devices with wheels and supporting table or forearm support.,106,151
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Seating System - Custom made ,05_122500821_0105_1_2,"Head, back, seat and arm / leg supports, custom-made for a participant with complex and often fixed postural support needs",92,130
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Seating Componentry and Accessories,05_122524811_0105_1_2,"Head, back, seat and arm / leg supports, with components individually aligned for the individual (e.g. adjustable as required, including moldable supports)",103,156
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Positioning - Back,05_122503111_0105_1_2,Supports with attachment for back support and positioning for participants with limited trunk control in wheelchair and related seating ,101,149
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Positioning - Seat,05_122506111_0105_1_2,"Seat related supports with attachment to maintain good posture, avoiding tissue integrity risk in wheelchair and related seating ",93,151
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Modular Seating Systems,05_180939882_0105_1_2,"Back rest, seat and arm / leg supports and components suitable for adjustment to provide postural seated support for the individual.",90,150
Specialised seating for wheelchairs and other wheeled mobility equipment,,,,103,144
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Air Floatation or Automatic Pressure Management,05_043303511_0103_1_2,Postural support using air floatation or automated pressure management system,106,158
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Foam and/or Gel Component System,05_043303811_0103_1_2,"Postural Support using foam and/or gel (Seat, Back and Other Supports Included)",103,154
Specialised seating for wheelchairs and other wheeled mobility equipment,Postural Support - Pediatric Wheelchair Accessory,05_122524111_0105_1_2,A tray or anterior support designed to fit onto a wheelchair - for postural purposes or to hold for functional use,111,165
Specialised wheeled mobility,Crawlers / Mobility Boards / Trolley,05_122715831_0105_1_2,"Wheeled devices on which a person sits or lays and moves by pushing on the floor with their arms or legs, or alternatively is assistant propelled",91,138
Specialised wheeled mobility,Wheeled Base - Height Adaptable Seating - Pediatric,05_122707931_0105_1_2,High / Low or other base for specialised stroller seating,92,132
Specialised wheeled mobility,Stroller / Pram / Buggy with Specialised Seating System,05_122707821_0105_1_2,"Stroller, pram or buggy with specialised customisable seating system for children with high postural support needs",112,168
Specialised wheeled mobility,Stroller / Pram / Buggy / Push Chair with Supportive Seating ,05_122707831_0105_1_2,Specialised accessories and support items including postural seating for prams and strollers,106,169
Wheelchairs and scooters,Wheelchair or Scooter - Battery or Charger,05_501224310_0105_1_2,Charger or battery (including repair) for powered device e.g. wheelchair charger with car adapter,109,180
Wheelchairs and scooters,Wheelchair Manual - Sport and Recreation Use,05_122290811_0105_1_2,Manual wheelchair designed for recreational and sport use.,98,156
Wheelchairs and scooters,Wheelchair Accessory - Power-Assist Drive Technology,05_122409871_0105_1_2,"Powered assistance (extra wheel, tug or drive system) used with manual wheelchairs that amplify or supplement pushing effort (does not include power wheelchair add-on kits)",100,131
Wheelchairs and scooters,Wheelchair Manual - Folding - Basic ,05_122203811_0105_1_2,"Folding manual wheelchair, including lightweight and transit design.",106,136
Wheelchairs and scooters,Wheelchair Manual - Folding - Custom made,05_122203821_0105_1_2,Manual wheelchair with a very lightweight frame that is custom-made to individual measurements (not including seating).,107,150
Wheelchairs and scooters,Wheelchair - Manual - Attendant Propelled,05_122218111_0105_1_2,"Manual wheelchair usually with smaller wheels, designed to be pushed by an attendant. Often low cost AT.",81,143
Wheelchairs and scooters,Wheelchair Manual - Tilt in Space,05_122203891_0105_1_2,Manual wheelchair that includes ability to tilt (front/back) the seated occupant to maintain postural position or for fatigue relief,75,112
Wheelchairs and scooters,Wheelchair Manual - Rigid Frame,05_122203911_0105_1_2,Wheelchair with rigid frame made to an individual userÕs measurements (not including seating).,99,144
Wheelchairs and scooters,Wheelchair Accessory - Powered Alternate Operator Control System,05_122403811_0105_1_2,Wheelchair controls other than joystick,102,141
Wheelchairs and scooters,Wheelchair Accessory - Powered Adjustment for Limbs or Recline or Elevate,05_122490811_0105_1_2,Powered postural support components (e.g. leg supports) other than tilt-in-space or elevate,80,120
Wheelchairs and scooters,Wheelchair-Powered - Powered Standing Mechanism,05_122306139_0105_1_2,Powered wheelchair with included powered features to enable the participant to stand while still posturally secured in the chair.,108,164
Wheelchairs and scooters,Wheelchair Powered - Base with Tilt - All Terrain / Heavy Duty Base,05_122306191_0105_1_2,Powered wheelchair with the capability of being used across different terrains including rough/sandy settings (may or may not include tilt/recline - not including seating),103,134
Wheelchairs and scooters,Wheelchair Powered - Base with / without Tilt - Indoor / Outdoor use,05_122306811_0105_1_2,"Powered wheelchair for adult or child use in general settings, (with/without tilt) with factory seating",102,154
Wheelchairs and scooters,Wheelchair Powered - Base - Portable / Folding,05_122306824_0105_1_2,"Powered wheelchair base for general use (may or may not include tilt/recline - not including seating), that is portable or foldable particularly for transport.",84,123
Wheelchairs and scooters,Scooter - Heavy Duty / Robust activity specific,05_122303891_0105_1_2,Powered 4 wheeled scooter for use by an individual of significant weight (>150kg) or in adverse settings,105,149
Wheelchairs and scooters,Scooter - Indoor/Outdoor Use,05_122303811_0105_1_2,Powered occupant operated wheeled scooter for general use,109,174
Wheelchairs and scooters,Scooter - Electrically Powered - Portable,05_122303911_0105_1_2,"Powered portable or foldable wheeled scooter, primarily for indoor use",90,145
Wheelchairs and scooters,Scooter - Small Folding/Travel Light-Weight,05_122303991_0105_1_2,Small powered scooter (with manual steering) that is foldable/portable for stowing in luggage areas while occupant travels in a vehicle seat.,106,152
Wheelchairs and scooters,Positioning / Mounting Systems - Technology and other devices,05_242400811_0103_1_2,Devices for positioning objects (including other AT devices) close to the person to enable easy reach and operation e.g. wheelchair AAC device mounts,93,145
Wheelchairs and scooters,Tyres - Wheeled Mobility,05_501224309_0105_1_2,Replacement tyres for wheelchair or scooter (see repair codes),99,145
Wheelchairs and scooters,Wheelchair Accessory - Health-Related AT / Ventilator Carrier,05_122442871_0105_1_2,Wheelchair mounted accessories to safely secure health or ventilation support AT,97,146
Prosthetics and orthotics,Prosthesis Accessory - Arm and/or Hand for Sport and Leisure,05_061826871_0135_1_2,"A hardware device or adaptions for arm and/or hand prosthetics, to enable participation in sport.",93,141
Prosthetics and orthotics,Orthosis - Dynamic or Lycra - Full Body,05_061290821_0135_1_2,Elastane-based or other orthoses for the full body (excluding head) designed to improve functioning ,103,155
Prosthetics and orthotics,Orthosis - Dynamic or Lycra - Limb,05_060688121_0135_1_2,"Elastane-based or other orthoses for the upper limbs (e.g. arms, shoulder) designed to improve functioning",110,169
Prosthetics and orthotics,Orthosis - Cervical and Cranial,05_060315111_0135_1_2,Orthoses for specific impairments of the neck or cranium (includes helmets).,98,124
Prosthetics and orthotics,Orthosis - Cervico-Thoraco-Lumbo-Sacral,05_060318821_0135_1_2,"Orthoses that apply external pressure to immobilize, support or correct spinal deformities.",111,162
Prosthetics and orthotics,Prosthesis - Lower Limb - Not Defined,05_062488034_0135_1_2,Prosthetic lower limb not otherwise classified below,94,147
Prosthetics and orthotics,Orthosis - Footwear / Shoes / Other -Custom made,05_061203821_0135_1_2,Pair of shoes made for an individual who is unable to fit off the shelf or specialist shoes.,119,150
Prosthetics and orthotics,Orthosis - Ankle Foot (AFO)- Custom made,05_061206821_0135_1_2,"Custom made AFO used for a variety of neuropathic, orthopedic and congenital conditions. ",124,156
Prosthetics and orthotics,Orthosis - Ankle Foot (AFO) - Prefabricated,05_061206111_0135_1_2,"Prefabricated (or customised) AFO used for a variety of neuropathic, orthopedic and congenital conditions. ",99,165
Prosthetics and orthotics,Orthosis - Ankle Foot with Ankle Joints -Custom made,05_061206891_0135_1_2,Custom made AFO that include specific joint structure between foot and lower leg section ,92,145
Prosthetics and orthotics,Orthosis - Bilateral Hip Knee Ankle Foot Orthosis - including RGO - Prefabricated,05_061218811_0135_1_2,Prefabricated reciprocating gait orthosis (RGO) used for coupling together hip joints to facilitate ambulation pattern,104,158
Prosthetics and orthotics,Orthosis - Bilateral Thoraco-lumbar/Lumbo-Sacral Hip Knee Ankle Foot - Custom made,05_061219821_0135_1_2,"Custom made lower limb and spinal support linked orthosis to facilitate upright posture, and potentially walking",107,147
Prosthetics and orthotics,Orthosis - Hip - Prefabricated,05_061215111_0105_1_2,Prefabricated (off the shelf) orthoses to provide hip and pelvic stability,105,156
Prosthetics and orthotics,Orthosis - Hip Thigh Knee Ankle - Custom made,05_061218821_0135_1_2,"Custom made orthosis to support hip, knee and ankle movement to support walking ",111,164
Prosthetics and orthotics,Orthosis - Knee - Custom made,05_061209121_0135_1_2,Knee support custom made for individual need,90,146
Prosthetics and orthotics,Orthosis - Knee - Prefabricated,05_061209111_0105_1_2,Prefabricated knee orthosis adjustable for the individual,103,170
Prosthetics and orthotics,Orthosis - Knee Ankle Foot - Custom made,05_061212821_0135_1_2,Custom made orthoses providing variable control to stabilise movement of the knee and ankle ,85,132
Prosthetics and orthotics,Orthosis - Thigh Knee Ankle - Custom made,05_061209821_0135_1_2,"Custom orthosis spanning the knee, ankle and foot to stabilise the joints and assist the muscles of the leg. ",113,168
Prosthetics and orthotics,Orthosis - Upper Limb - Custom made,05_060600821_0135_1_2,"Custom made orthosis for any combination of shoulder, elbow, wrist and hand to stabilise movement ",96,152
Prosthetics and orthotics,Orthosis - Upper Limb - Prefabricated,05_060600111_0135_1_2,"Prefabricated orthosis for any combination of shoulder, elbow, wrist and hand to stabilise movement; prefabricated devices may be adjustable or ready to use",101,137
Prosthetics and orthotics,Orthosis - Foot - All Types or Prefabricated Orthotic Footwear,05_061203111_0135_1_2,"Prefabricated orthotic to support the foot, improve posture and correct any imbalances (includes off the shelf orthopedic footwear)",93,139
Prosthetics and orthotics,Repairs and Maintenance - Orthosis,05_500612441_0135_1_2,Repairs for orthoses,92,137
Prosthetics and orthotics,Prosthesis - For use in Wet Environment (i.e. waterproofing),05_062490191_0135_1_2,Prosthesis that incorporates specialised components or treatments to enable use in wet environments,108,157
Prosthetics and orthotics,Prosthesis - Not Limb Related,05_063000821_0135_1_2,"Devices used to replace totally, or in part, the appearance and function of an absent body segment other than limbs",105,153
Prosthetics and orthotics,Prosthesis - Osseo-Integration Mounting -Upper or Lower - Additional Cost,05_062200921_0135_1_2,"Extra cost to facilitate connection through titanium or similar bone implants to upper or lower residual limb, outside the standard prosthetic cost",95,141
Prosthetics and orthotics,Prosthesis - Transfemoral or Higher,05_062415121_0135_1_2,Devices that replace part of the lower limb between the knee and hip joints after limb loss/absence,99,148
Prosthetics and orthotics,Prosthesis - Transtibial or Lower,05_062409121_0135_1_2,Devices that replace part of the lower limb between the knee and the ankle joint after limb loss/absence,92,139
Prosthetics and orthotics,Prosthesis - Upper Limb - Including Powered,05_061800121_0135_1_2,Devices that replace part or all of the upper limb (not including finger replacement only),105,150
Prosthetics and orthotics,Prosthesis - Lower Limb for Sports,05_062488121_0135_1_2,Lower limb prosthetics customised or custom made for use in sport.,90,155
Prosthetics and orthotics,Orthosis - Trunk / Lower Body - FES or Powered - to support standing/walking,05_061500811_0135_1_2,"Hybrid orthoses with powered joints and/or linked functional electrical stimulation (FES) to facilitate standing, walking, and/or stair climbing ",122,160
Vehicle modifications,Vehicle Modification - For Seating and/or Seat Belts ,05_121209821_0109_1_2,Safety restraints and seat for use in vehicles that require approved modifier,116,181
Vehicle modifications,Specialised Child Car Seats - No Vehicle Modification Required,05_121212811_0103_1_2,"A child's specialised car seat, that does NOT require vehicle modification",101,159
Vehicle modifications,Vehicle Modification - Adaptions for ancillary functions,05_121208111_0109_1_2,"Adaptions to mirrors and locks of a vehicle (e.g. Lights, Locking, etc.)",104,140
Vehicle modifications,Vehicle Modification - Adaptions for driver control,05_121205811_0109_1_2,"Adaptions to the accelerator, brake/parking brake, and/or steering in a vehicle (e.g. Steering/Braking/ Acceleration)",121,148
Vehicle modifications,Vehicle Modification - for Wheelchair Seated Driver,05_121227221_0109_1_2,"Vehicle chassis and/or body modification for wheelchair seated driver access, including belts/securement and floor lowering if required",111,164
Vehicle modifications,Vehicle Modification - for Wheelchair Passengers,05_121227121_0109_1_2,"Vehicle chassis and/or body modification for wheelchair passenger access, including belts/harnesses and floor lowering if required",76,119
Vehicle modifications,Vehicle Modification - Hoist/Ramp for Unoccupied Wheelchair Loading ,05_121221811_0109_1_2 ,"Vehicle mounted hoist for loading unoccupied wheelchairs, or a ramp for loading/unloading unoccupied wheelchairs ",111,162
Vehicle modifications,Vehicle Modification - Hoist for Passenger Loading (without Wheelchair),05_121215811_0109_1_2,A powered sling system / hoist to assist in lifting an individual safely in and out of a vehicle.,101,155
Vehicle modifications,Vehicle Modification - Hoist for Occupied Wheelchair Loading,05_121218811_0109_1_2,Electronic or mechanical hoist mounted to car to lift an individual in their wheelchair or scooter for transport.,107,171
Vehicle modifications,Vehicle Modification - Engineer Certification,05_121290111_0109_1_2,Certification required by a transport authority to authorize registration for road use in a state or territory of Australia,91,157
Vehicle modifications,Vehicle Accessory -Trailer for wheeled mobility device,05_121230811_0109_1_2,A purpose-built trailer to carry a wheelchair or scooter.,107,178
Assistive equipment for recreation,Bicycle - Adapted for Hand Propulsion,05_121805111_0112_1_2,"Hand-propelled, two-wheeled cycles for an individual with functional limitations.",88,136
Assistive equipment for recreation,Bicycle - Tricycle and/or Carts,05_121800821_0112_1_2,"Bicycles, tricycles adapted for specific functional needs - primarily for children",97,142
